code,municipality
0101,Absecon City
0102,Atlantic City
0103,Brigantine City
0104,Buena Boro
0105,Buena Vista
0106,Corbin City
0107,Egg Harbor
0108,Egg Harbor
0109,Estell Manor
0110,Folsom Boro
0111,Galloway Twp
0112,Hamilton Twp
0113,Hammonton Town
0114,Linwood City
0115,Longport Boro
0116,Margate City
0117,Mullica Twp
0118,Northfield City
0119,Pleasantville City
0120,Port Republic
0121,Somers Point
0122,Ventnor City
0123,Weymouth Twp
0201,Allendale Boro
0202,Alpine Boro
0203,Bergenfield Boro
0204,Bogota Boro
0205,Carlstadt Boro
0206,Cliffside Park
0207,Closter Boro
0208,Cresskill Boro
0209,Demarest Boro
0210,Dumont Boro
0211,Elmwood Park
0212,E Rutherford
0213,Edgewater Boro
0214,Emerson Boro
0215,Englewood City
0216,Englewood Cliffs
0217,Fairlawn Boro
0218,Fairview Boro
0219,Fort Lee
0220,Franklin Lakes
0221,Garfield City
0222,Glen Rock
0223,Hackensack City
0224,Harrington Park
0225,Hasbrouck Hghts
0226,Haworth Boro
0227,Hillsdale Boro
0228,Hohokus Boro
0229,Leonia Boro
0230,Little Ferry
0231,Lodi Boro
0232,Lyndhurst Twp
0233,Mahwah Twp
0234,Maywood Boro
0235,Midland Park
0236,Montvale Boro
0237,Moonachie Boro
0238,New Milford
0239,North Arlington
0240,Northvale Boro
0241,Norwood Boro
0242,Oakland Boro
0243,Old Tappan
0244,Oradell Boro
0245,Palisades Park
0246,Paramus Boro
0247,Park Ridge
0248,Ramsey Boro
0249,Ridgefield Boro
0250,Ridgefield Park
0251,Ridgewood Village
0252,Riveredge Boro
0253,Rivervale Twp
0254,Rochelle Park
0255,Rockleigh Boro
0256,Rutherford Boro
0257,Saddle Brook
0258,Saddle River
0259,So Hackensack
0260,Teaneck Twp
0261,Tenafly Boro
0262,Teterboro Boro
0263,Upper Saddle
0264,Waldwick Boro
0265,Wallington Boro
0266,Washington Twp
0267,Westwood Boro
0268,Woodcliff Lake
0269,Wood Ridge
0270,Wyckoff Twp
0301,Bass River
0302,Beverly City
0303,Bordentown City
0304,Bordentown Twp
0305,Burlington City
0306,Burlington Twp
0307,Chesterfield Twp
0308,Cinnaminson Twp
0309,Delanco Twp
0310,Delran Twp
0311,Eastampton Twp
0312,Edgewater Park
0313,Evesham Twp
0314,Fieldsboro Boro
0315,Florence Twp
0316,Hainesport Twp
0317,Lumberton Twp
0318,Mansfield Twp
0319,Maple Shade
0320,Medford Twp
0321,Medford Lakes
0322,Moorestown Twp
0323,Mt Holly
0324,Mt Laurel
0325,New Hanover
0326,No Hanover
0327,Palmyra Boro
0328,Pemberton Boro
0329,Pemberton Twp
0330,Riverside Twp
0331,Riverton Boro
0332,Shamong Twp
0333,Southampton Twp
0334,Springfield Twp
0335,Tabernacle Twp
0336,Washington Twp
0337,Westampton Twp
0338,Willingboro Twp
0339,Woodland Twp
0340,Wrightstown Boro
0401,Audubon Boro
0402,Audubon Park
0403,Barrington Boro
0404,Bellmawr Boro
0405,Berlin Boro
0406,Berlin Twp
0407,Brooklawn Boro
0408,Camden City
0409,Cherry Hill
0410,Chesilhurst Boro
0411,Clementon Boro
0412,Collingswood Boro
0413,Gibbsboro Boro
0414,Gloucester City
0415,Gloucester Twp
0416,Haddon Twp
0417,Haddonfield Boro
0418,Haddon Heights
0419,Hi Nella
0420,Laurel Springs
0421,Lawnside Boro
0422,Lindenwold Boro
0423,Magnolia Boro
0424,Merchantville Boro
0425,Mount Ephraim
0426,Oaklyn Boro
0427,Pennsauken Twp
0428,Pine Hill
0429,Pine Valley
0430,Runnemede Boro
0431,Somerdale Boro
0432,Stratford Boro
0433,Tavistock Boro
0434,Voorhees Twp
0435,Waterford Twp
0436,Winslow Twp
0437,Woodlynne Boro
0501,Avalon Boro
0502,Cape May
0503,Cape May
0504,Dennis Twp
0505,Lower Twp
0506,Middle Twp
0507,North Wildwood
0508,Ocean City
0509,Sea Isle
0510,Stone Harbor
0511,Upper Twp
0512,West Cape
0513,West Wildwood
0514,Wildwood City
0515,Wildwood Crest
0516,Woodbine Boro
0601,Bridgeton City
0602,Commercial Twp
0603,Deerfield Twp
0604,Downe Twp
0605,Fairfield Twp
0606,Greenwich Twp
0607,Hopewell Twp
0608,Lawrence Twp
0609,Maurice River
0610,Millville City
0611,Shiloh Boro
0612,Stow Creek
0613,Upper Deerfield
0614,Vineland City
0701,Belleville Twp
0702,Bloomfield Twp
0703,Caldwell Boro
0704,Cedar Grove
0705,East Orange
0706,Essex Fells
0707,Fairfield Twp
0708,Glen Ridge
0709,Irvington Twp
0710,Livingston Twp
0711,Maplewood Twp
0712,Millburn Twp
0713,Montclair Twp
0714,Newark City
0715,North Caldwell
0716,Nutley Twp
0717,Orange City
0718,Roseland Boro
0719,South Orange
0720,Verona Twp
0721,West Caldwell
0722,West Orange
0801,Clayton Boro
0802,Deptford Twp
0803,East Greenwich
0804,Elk Twp
0805,Franklin Twp
0806,Glassboro Boro
0807,Greenwich Twp
0808,Harrison Twp
0809,Logan Twp
0810,Mantua Twp
0811,Monroe Twp
0812,National Park
0813,Newfield Boro
0814,Paulsboro Boro
0815,Pitman Boro
0816,So Harrison
0817,Swedesboro Boro
0818,Washington Twp
0819,Wenonah Boro
0820,West Deptford
0821,Westville Boro
0822,Woodbury City
0823,Woodbury Heights
0824,Woolwich Twp
0901,Bayonne City
0902,East Newark
0903,Guttenberg Town
0904,Harrison Town
0905,Hoboken City
0906,Jersey City
0907,Kearny Town
0908,North Bergen
0909,Secaucus Town
0910,Union City
0911,Weehawken Twp
0912,West New
1001,Alexandria Twp
1002,Bethlehem Twp
1003,Bloomsbury Boro
1004,Califon Boro
1005,Clinton Town
1006,Clinton Twp
1007,Delaware Twp
1008,East Amwell
1009,Flemington Boro
1010,Franklin Twp
1011,Frenchtown Boro
1012,Glen Gardner
1013,Hampton Boro
1014,High Bridge
1015,Holland Twp
1016,Kingwood Twp
1017,Lambertville City
1018,Lebanon Boro
1019,Lebanon Twp
1020,Milford Boro
1021,Raritan Twp
1022,Readington Twp
1023,Stockton Boro
1024,Tewksbury Twp
1025,Union Twp
1026,West Amwell
1101,East Windsor
1102,Ewing Twp
1103,Hamilton Twp
1104,Hightstown Boro
1105,Hopewell Boro
1106,Hopewell Twp
1107,Lawrence Twp
1108,Pennington Boro
1111,Trenton City
1112,Robbinsville Twp
1113,West Windsor
1201,Carteret Boro
1202,Cranbury Twp
1203,Dunellen Boro
1204,East Brunswick
1205,Edison Twp
1206,Helmetta Boro
1207,Highland Park
1208,Jamesburg Boro
1209,Metuchen Boro
1210,Middlesex Boro
1211,Milltown Boro
1212,Monroe Twp
1213,New Brunswick
1214,North Brunswick
1215,Old Bridge
1216,Perth Amboy
1217,Piscataway Twp
1218,Plainsboro Twp
1219,Sayreville Boro
1220,South Amboy
1221,South Brunswick
1222,South Plainfield
1223,South River
1224,Spotswood Boro
1225,Woodbridge Twp
1301,Aberdeen Twp
1302,Allenhurst Boro
1303,Allentown Boro
1304,Asbury Park
1305,Atlantic Highlands
1306,Avon By
1307,Belmar Boro
1308,Bradley Beach
1309,Brielle Boro
1310,Colts Neck
1311,Deal Boro
1312,Eatontown Boro
1313,Englishtown Boro
1314,Fair Haven
1315,Farmingdale Boro
1316,Freehold Boro
1317,Freehold Twp
1318,Hazlet Twp
1319,Highlands Boro
1320,Holmdel Twp
1321,Howell Twp
1322,Interlaken Boro
1323,Keansburg Boro
1324,Keyport Boro
1325,Little Silver
1326,Loch Arbour
1327,Long Branch
1328,Manalapan Twp
1329,Manasquan Boro
1330,Marlboro Twp
1331,Matawan Boro
1332,Middletown Twp
1333,Millstone Twp
1334,Monmouth Beach
1335,Neptune Twp
1336,Neptune City
1337,Ocean Twp
1338,Oceanport Boro
1339,Red Bank
1340,Roosevelt Boro
1341,Rumson Boro
1342,Sea Bright
1343,Sea Girt
1344,Shrewsbury Boro
1345,Shrewsbury Twp
1346,Lake Como
1347,Spring Lake
1348,Spring Lake
1349,Tinton Falls
1350,Union Beach
1351,Upper Freehold
1352,Wall Twp
1353,West Long
1401,Boonton Town
1402,Boonton Twp
1403,Butler Boro
1404,Chatham Boro
1405,Chatham Twp
1406,Chester Boro
1407,Chester Twp
1408,Denville Twp
1409,Dover Town
1410,East Hanover
1411,Florham Park
1412,Hanover Twp
1413,Harding Twp
1414,Jefferson Twp
1415,Kinnelon Boro
1416,Lincoln Park
1417,Madison Boro
1418,Mendham Boro
1419,Mendham Twp
1420,Mine Hill
1421,Montville Twp
1422,Morris Twp
1423,Morris Plains
1424,Morristown Town
1425,Mountain Lakes
1426,Mount Arlington
1427,Mount Olive
1428,Netcong Boro
1429,Parsippany Tr
1430,Long Hill
1431,Pequannock Twp
1432,Randolph Twp
1433,Riverdale Boro
1434,Rockaway Boro
1435,Rockaway Twp
1436,Roxbury Twp
1437,Victory Gardens
1438,Washington Twp
1439,Wharton Boro
1501,Barnegat Twp
1502,Barnegat Light
1503,Bay Head
1504,Beach Haven
1505,Beachwood Boro
1506,Berkeley Twp
1507,Brick Twp
1508,Toms River
1509,Eagleswood Twp
1510,Harvey Cedars
1511,Island Heights
1512,Jackson Twp
1513,Lacey Twp
1514,Lakehurst Boro
1515,Lakewood Twp
1516,Lavallette Boro
1517,Little Egg
1518,Long Beach
1519,Manchester Twp
1520,Mantoloking Boro
1521,Ocean Twp
1522,Ocean Gate
1523,Pine Beach
1524,Plumsted Twp
1525,Point Pleasant
1526,Pt Pleasant
1527,Seaside Heights
1528,Seaside Park
1529,Ship Bottom
1530,South Toms
1531,Stafford Twp
1532,Surf City
1533,Tuckerton Boro
1601,Bloomingdale Boro
1602,Clifton City
1603,Haledon Boro
1604,Hawthorne Boro
1605,Little Falls
1606,North Haledon
1607,Passaic City
1608,Paterson City
1609,Pompton Lakes
1610,Prospect Park
1611,Ringwood Boro
1612,Totowa Boro
1613,Wanaque Boro
1614,Wayne Twp
1615,West Milford
1616,Woodland Park
1701,Alloway Township
1702,Carneys Point
1703,Elmer Boro
1704,Elsinboro Twp
1705,Lower Alloway
1706,Mannington Twp
1707,Oldmans Twp
1708,Penns Grove
1709,Pennsville Twp
1710,Pilesgrove Twp
1711,Pittsgrove Twp
1712,Quinton Twp
1713,Salem City
1714,Upper Pittsgrove
1715,Woodstown Boro
1801,Bedminster Twp
1802,Bernards Twp
1803,Bernardsville Boro
1804,Bound Brook
1805,Branchburg Twp
1806,Bridgewater Twp
1807,Far Hills
1808,Franklin Twp
1809,Green Brook
1810,Hillsborough Twp
1811,Manville Boro
1812,Millstone Boro
1813,Montgomery Twp
1814,North Plainfield
1815,Peapack Gladstone
1816,Raritan Boro
1817,Rocky Hill
1818,Somerville Boro
1819,So Bound
1820,Warren Twp
1821,Watchung Boro
